Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
cow,3.0,103.1,depression,painless lumps,loss of appetite,pneumonia
buffalo,13.0,104.5,painless lumps,loss of appetite,depression,lumpy virus
sheep,1.0,100.5,depression,painless lumps,loss of appetite,lumpy virus
cow,14.0,100.3,loss of appetite,swelling in limb,crackling sound,blackleg
sheep,2.0,103.6,painless lumps,loss of appetite,depression,pneumonia
goat,10.0,101.2,loss of appetite,blisters on gums,difficulty walking,foot and mouth
sheep,6.0,103.3,loss of appetite,depression,painless lumps,lumpy virus
goat,6.0,101.7,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,9.0,102.5,depression,painless lumps,loss of appetite,lumpy virus
goat,3.0,102.7,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,1.0,104.1,painless lumps,depression,loss of appetite,pneumonia
cow,11.0,103.9,depression,painless lumps,loss of appetite,lumpy virus
goat,10.0,100.3,chills,swelling in extremities,shortness of breath,anthrax
sheep,10.0,100.3,depression,swelling in limb,lameness,blackleg
sheep,1.0,100.0,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,6.0,103.1,crackling sound,lameness,depression,blackleg
sheep,7.0,102.3,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,11.0,100.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,15.0,100.3,fatigue,sweats,shortness of breath,anthrax
cow,14.0,102.7,shortness of breath,sweats,chills,anthrax
cow,1.0,103.7,depression,loss of appetite,painless lumps,lumpy virus
sheep,1.0,102.3,loss of appetite,painless lumps,depression,lumpy virus
cow,14.0,100.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,2.0,101.9,painless lumps,loss of appetite,depression,lumpy virus
cow,7.0,101.9,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,6.0,102.9,loss of appetite,painless lumps,depression,lumpy virus
cow,12.0,100.3,loss of appetite,depression,painless lumps,lumpy virus
sheep,10.0,103.4,depression,painless lumps,loss of appetite,pneumonia
buffalo,1.0,101.3,shortness of breath,sweats,swelling in extremities,anthrax
sheep,5.0,101.3,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,2.0,102.7,loss of appetite,sores on hooves,lameness,foot and mouth
goat,1.0,101.7,chest discomfort,shortness of breath,chills,anthrax
sheep,5.0,101.3,fatigue,sweats,swelling in extremities,anthrax
sheep,10.0,102.9,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,10.0,104.4,swelling in limb,loss of appetite,crackling sound,blackleg
sheep,3.0,101.9,loss of appetite,painless lumps,depression,pneumonia
buffalo,14.0,102.9,loss of appetite,depression,painless lumps,lumpy virus
goat,7.0,102.6,swelling in abdomen,shortness of breath,fatigue,anthrax
cow,2.0,100.3,swelling in limb,crackling sound,difficulty walking,blackleg
goat,6.0,100.1,swelling in abdomen,shortness of breath,chest discomfort,anthrax
goat,6.0,103.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,10.0,100.5,sores on gums,loss of appetite,difficulty walking,foot and mouth
cow,10.0,103.0,blisters on gums,loss of appetite,difficulty walking,foot and mouth
sheep,3.0,103.3,painless lumps,loss of appetite,depression,pneumonia
sheep,7.0,101.8,painless lumps,depression,loss of appetite,pneumonia
buffalo,4.0,100.6,loss of appetite,depression,painless lumps,pneumonia
sheep,8.0,102.3,painless lumps,depression,loss of appetite,pneumonia
buffalo,3.0,104.7,painless lumps,loss of appetite,depression,pneumonia
sheep,2.0,104.7,shortness of breath,chest discomfort,chills,anthrax
buffalo,9.0,104.7,painless lumps,depression,loss of appetite,lumpy virus
cow,2.0,100.2,painless lumps,loss of appetite,depression,lumpy virus
goat,9.0,102.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,13.0,100.9,fatigue,shortness of breath,chills,anthrax
sheep,4.0,100.3,loss of appetite,painless lumps,depression,lumpy virus
cow,11.0,104.8,swelling in extremities,sweats,fatigue,anthrax
goat,10.0,104.6,chest discomfort,chills,swelling in extremities,anthrax
goat,3.0,101.4,depression,painless lumps,loss of appetite,pneumonia
buffalo,5.0,104.3,fatigue,chills,chest discomfort,anthrax
sheep,1.0,103.8,lameness,depression,swelling in limb,blackleg
cow,11.0,104.2,loss of appetite,painless lumps,depression,pneumonia
buffalo,13.0,103.6,crackling sound,depression,swelling in limb,blackleg
goat,5.0,102.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,6.0,100.4,shortness of breath,swelling in abdomen,chills,anthrax
sheep,3.0,103.2,depression,loss of appetite,painless lumps,lumpy virus
buffalo,9.0,102.4,loss of appetite,painless lumps,depression,pneumonia
goat,6.0,105.0,depression,lameness,loss of appetite,blackleg
goat,9.0,103.7,loss of appetite,sores on gums,difficulty walking,foot and mouth
cow,11.0,103.0,crackling sound,swelling in muscle,loss of appetite,blackleg
sheep,2.0,103.0,painless lumps,loss of appetite,depression,lumpy virus
goat,9.0,102.2,swelling in muscle,difficulty walking,crackling sound,blackleg
sheep,9.0,104.4,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,2.0,104.8,swelling in muscle,loss of appetite,lameness,blackleg
buffalo,2.0,101.3,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,15.0,101.4,depression,loss of appetite,painless lumps,pneumonia
goat,6.0,104.5,loss of appetite,depression,painless lumps,lumpy virus
buffalo,13.0,103.2,shortness of breath,fatigue,sweats,anthrax
sheep,3.0,101.0,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,3.0,100.2,chest discomfort,sweats,swelling in extremities,anthrax
buffalo,11.0,103.3,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,8.0,102.8,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,11.0,102.9,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,5.0,103.8,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,3.0,103.8,chest discomfort,swelling in neck,chills,anthrax
cow,12.0,104.8,painless lumps,loss of appetite,depression,pneumonia
buffalo,1.0,102.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11.0,101.9,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,8.0,101.8,loss of appetite,sores on tongue,difficulty walking,foot and mouth
goat,8.0,100.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,6.0,100.4,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,10.0,102.1,loss of appetite,lameness,crackling sound,blackleg
